,indicativo,nombre_indicativo,start_date,end_date,latitud_dd,longitud_dd,cluster
123,1283U,CABO BUSTO,2016-01-01,2025-06-11,43.56916666666667,-6.47,5
124,1297E,CERVANTES,2016-01-01,2025-06-11,42.76861111111111,-7.0175,1
125,1302F,DEGAÑA,2016-01-01,2025-06-11,42.95527777777778,-6.4725,1
126,1309C,"IBIAS, SAN ANTOLIN",2016-01-01,2025-06-11,43.0275,-6.885,5
127,1327A,"VILLAYÓN, ONETA",2016-01-01,2025-06-11,43.46555555555556,-6.673333333333334,5
128,1331A,CASTROPOL,2016-01-01,2025-06-11,43.52472222222222,-7.0313888888888885,5
129,1341B,"TARAMUNDI, OURIA",2016-01-01,2025-06-10,43.41555555555556,-7.061111111111111,5
130,1342X,RIBADEO,2016-01-01,2025-06-11,43.54055555555556,-7.083055555555555,5
131,1344X,MONDOÑEDO,2016-01-01,2025-06-11,43.43138888888889,-7.361666666666666,5
132,1347T,BURELA,2016-01-01,2024-12-31,43.65111111111111,-7.357222222222222,5
133,1351,ESTACA DE BARES,2016-01-01,2025-06-11,43.78611111111111,-7.685,5
134,1354C,FERROL,2016-01-01,2024-07-01,43.47638888888889,-8.262222222222222,5
135,1363X,AS PONTES,2016-01-01,2025-06-11,43.44583333333333,-7.861388888888888,5
136,1387,A CORUÑA,2016-01-01,2024-12-31,43.365833333333335,-8.421388888888888,5
137,1387D,A CORUÑA BENS,2016-01-01,2024-12-31,43.36333333333334,-8.441944444444445,5
138,1387E,A CORUÑA AEROPUERTO,2016-01-01,2024-12-31,43.30694444444444,-8.371944444444445,5
139,1390X,"CARBALLO, DEPURADORA",2016-01-01,2024-12-31,43.20361111111112,-8.71111111111111,5
140,1393,CABO VILÁN,2016-01-01,2024-12-31,43.160555555555554,-9.210833333333332,5
141,1399,VIMIANZO,2016-01-01,2024-12-31,43.0575,-9.046944444444444,5
142,1400,FISTERRA,2016-01-01,2024-12-31,42.92472222222222,-9.29138888888889,5
143,1406X,MAZARICOS,2016-01-01,2024-12-31,42.93527777777778,-8.993611111111111,5
144,1410X,SOBRADO,2016-01-01,2024-12-31,43.03777777777778,-8.022222222222224,5
145,1428,SANTIAGO DE COMPOSTELA AEROPUERTO,2016-01-01,2024-12-31,42.88805555555555,-8.410555555555556,5
146,1435C,NOIA,2016-01-01,2024-12-31,42.80027777777777,-8.876111111111111,5
147,1437O,MONTE IROITE,2016-01-01,2017-10-02,42.72055555555556,-8.923333333333332,5
148,1442U,BOIRO,2016-01-01,2024-12-31,42.64388888888889,-8.892222222222221,5
149,1446X,MONTERROSO,2016-01-01,2024-12-31,42.80972222222222,-7.768333333333333,5
150,1455I,RODEIRO-VILAMAIOR,2016-01-01,2024-12-31,42.71111111111112,-7.953888888888889,5
151,1465U,LALIN-CRISTIMIL,2016-01-01,2024-12-31,42.66555555555556,-8.1925,5
152,1466A,SILLEDA,2016-01-01,2024-12-31,42.700833333333335,-8.257777777777777,5
153,1468X,A ESTRADA,2016-01-01,2024-12-31,42.69361111111111,-8.501944444444444,5
154,1473A,PADRÓN,2016-01-01,2024-12-31,42.73833333333334,-8.627222222222223,5
155,1475X,SANTIAGO DE COMPOSTELA,2016-01-01,2024-12-31,42.87611111111112,-8.555833333333334,5
156,1476R,"ROIS, CASAS DO PORTO",2016-01-01,2024-12-31,42.74972222222223,-8.714722222222221,5
