indicativo,altitud,tmed_mean,tmed_winter,tmed_spring,tmed_summer,tmed_fall,prec_mean,hrMedia_mean,velmedia_mean,longitud_dd,latitud_dd,tmed_range,prec_mean_log,velmedia_mean_log,cluster
6032X,760,16.794360049824146,10.105842517618813,14.352173913043478,25.465831196711758,18.11750465549348,1.6043070362473346,56.71087321201859,1.92859897997535,-5.168611111111112,36.75,15.359988679092945,0.9571666268607305,1.074524144841257,4
6040X,315,17.46008010826475,11.489956647398845,15.244045911047346,24.830743926261697,18.795696595810796,2.512280701754386,67.37436811270098,0.7981153384261155,-5.386388888888889,36.54444444444445,13.340787278862852,1.25626559904657,0.5867390821711742,1
6042I,42,17.945466048080977,12.016608391608392,15.779619565217391,24.310603588907018,19.025946372239748,1.7027932743563194,68.91522564318853,2.826233656684943,-5.3950000000000005,36.43555555555555,12.293995197298626,0.9942857842942069,1.3418809399021279,1
6045X,676,18.09245893479343,11.156639004149378,15.231847826086957,26.15412667946257,18.93278388278388,2.347187655550025,56.99054255848681,2.057491289198606,-5.203055555555555,36.6325,14.997487675313193,1.2081204874486695,1.1175947395803998,1
6050X,594,16.529603137978775,10.654905335628227,14.526377633711506,23.847766159695816,18.335101580135444,2.211767420396862,63.59206275957545,2.1459621596677434,-5.318611111111111,36.51861111111111,13.192860824067589,1.166821383872796,1.1461197764861077,1
6056X,1,18.665099557522122,13.794590643274853,17.10774456521739,24.327480916030535,19.871978021978023,1.7327112649739673,76.86762536873157,3.445206489675516,-5.2844444444444445,36.27305555555555,10.532890272755681,1.0052942537153435,1.4918263222570918,1
6057X,140,19.22344460900821,13.743535104448858,16.954782608695652,25.280447856685864,20.19267942457842,1.4650074664011945,67.6225499837646,3.646431909252219,-5.26,36.37833333333333,11.536912752237006,0.9021948364560679,1.5360995937062731,1
6058I,19,19.757086567143862,14.542572062084258,18.035316004397885,25.42951963948544,20.84654788418709,1.487931154299093,58.94424845039889,3.016385926324801,-5.155,36.41694444444444,10.886947577401184,0.9114515033924302,1.3903824749648193,1
6069X,392,18.18559921246013,12.366835878846942,16.234192111794858,25.062771739130437,18.976510989010986,1.8227926078028747,61.038595166261864,1.7312084788441902,-5.024722222222223,36.54361111111111,12.695935860283495,1.0377266813947845,1.0047441774923644,1
6076X,2,18.89143173748112,14.513298712266804,17.213043478260868,23.71108695652174,20.09942568743474,1.4137085866447052,68.87624035281146,3.4076350606394707,-4.953055555555555,36.48444444444444,9.197788244254935,0.8811643973455405,1.483338278187258,1
