idema,fint,ta,lat,lon,alt
1048X,2025-05-29T03:00:00+0000,11.5,43.02505,-2.465715,308.0
1049N,2025-05-29T03:00:00+0000,12.5,43.138332,-2.495827,470.0
1050J,2025-05-29T03:00:00+0000,11.2,43.209293,-2.413218,119.0
1052A,2025-05-29T03:00:00+0000,14.7,43.31722,-2.397148,150.0
1056K,2025-05-29T03:00:00+0000,10.7,43.34239,-2.671184,45.0
1057B,2025-05-29T03:00:00+0000,15.6,43.453907,-2.752762,93.0
1059X,2025-05-29T03:00:00+0000,13.3,43.375088,-3.021602,81.0
1060X,2025-05-29T03:00:00+0000,10.8,43.05024,-3.005452,240.0
1064L,2025-05-29T03:00:00+0000,10.4,43.096333,-2.860274,270.0
1069Y,2025-05-29T03:00:00+0000,11.3,43.09923,-2.644187,747.0
1074C,2025-05-29T03:00:00+0000,11.1,43.202892,-2.706153,100.0
1078C,2025-05-29T03:00:00+0000,9.8,43.180576,-3.209649,210.0
1078I,2025-05-29T03:00:00+0000,10.5,43.203384,-3.104777,208.0
1082,2025-05-29T03:00:00+0000,12.5,43.29795,-2.906304,42.0
1083B,2025-05-29T03:00:00+0000,10.4,43.27972,-3.168615,177.0
1083L,2025-05-29T03:00:00+0000,14.4,43.39473,-3.233884,45.0
1089U,2025-05-29T03:00:00+0000,10.9,43.255833,-3.47083,80.0
1096X,2025-05-29T03:00:00+0000,11.1,43.39667,-3.469721,10.0
1103X,2025-05-29T03:00:00+0000,18.0,43.227554,-3.721084,849.0
