idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
0149X,1.84028,2025-05-28T05:00:00+0000,0.0,291.0,1.7,0.5,347.0,41.71988,309.0,MANRESA,90.0,12.8,12.9,13.1,989.2,,14.7,1023.9,11.3,11.8,,0.0,20.0,0.0,0.0,,,,,,,,,,,,,
0158X,1.839223,2025-05-28T05:00:00+0000,0.0,738.0,,,,41.594444,,MONTSERRAT,82.0,15.1,15.9,15.9,,,,,,,,,,,,,,,,,,,,,,,,
0171X,1.617778,2025-05-28T05:00:00+0000,0.0,313.0,2.4,0.7,316.0,41.578888,271.0,IGUALADA,69.0,12.0,12.7,12.8,,,,,7.1,,,,,,,39.0,,,,,,,,,,,,
0194D,1.885,2025-05-28T05:00:00+0000,0.0,647.0,,,,41.40819,,CORBERA  PIC D?AGULLES ,48.0,16.5,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
0201D,2.200001,2025-05-28T05:00:00+0000,0.0,26.0,0.0,0.0,0.0,41.390556,16.0,BARCELONA  PORT OLÍMPIC,87.0,17.9,18.3,18.3,,,,,16.1,,,,,,,0.0,,,,,,,,,,,,
0201X,2.173886,2025-05-28T05:00:00+0000,0.0,11.0,2.2,1.1,300.0,41.374996,300.0,BARCELONA  DRASSANES,70.0,19.0,19.0,19.2,,,,,,,,,,,,,,,,,,,,,,,,
0222X,2.168412,2025-05-28T05:00:00+0000,0.0,175.0,2.9,1.8,313.0,41.612663,320.0,CALDES DE MONTBUI,95.0,12.2,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,
0244X,2.362637,2025-05-28T05:00:00+0000,0.0,56.0,1.7,0.6,247.0,41.504894,350.0,VILASSAR DE DALT,75.0,16.8,16.8,17.1,,,,,,,,,,,,,,,,,,,,,,,,
0252D,2.54,2025-05-28T05:00:00+0000,,74.0,1.7,0.7,6.0,41.587223,17.0,ARENYS DE MAR,80.0,15.4,16.4,16.4,,,,,13.0,,,,,,,25.0,,,,,,,,,,,,
0260X,2.431023,2025-05-28T05:00:00+0000,0.0,936.0,,,,41.760063,,FONTMARTINA,87.0,12.5,12.7,12.7,,,,,,,,,,,,,,,,,,,,,,,,
0281Y,2.805112,2025-05-28T05:00:00+0000,0.0,45.0,4.9,2.9,324.0,41.677055,320.0,BLANES JARDIN BOTANICO,76.0,18.3,18.6,18.6,,,,,,,,,,,,,,,,,,,,,,,,
0284X,3.030933,2025-05-28T05:00:00+0000,0.0,14.0,3.5,1.0,253.0,41.807816,272.0,CASTELL D?ARO,97.0,14.9,15.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,
