idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
2918Y,-6.223616,2025-05-28T06:00:00+0000,0.0,1027.0,3.6,3.0,157.0,40.569447,155.0,EL MAILLO (BASE AVIONES - AUTOMATICA),70.0,12.9,14.6,14.6,,,,,,,,,,,,,,,,,,,,,,,,
2926B,-6.60902,2025-05-28T06:00:00+0000,0.0,748.0,3.0,1.3,118.0,40.851425,102.0,BAÑOBAREZ,79.0,11.0,15.1,15.1,,,,,,,,,,,,,,,,,,,,,,,,
2930Y,-6.812855,2025-05-28T06:00:00+0000,0.0,880.0,1.0,0.5,197.0,40.29663,215.0,NAVASFRIAS,97.0,7.8,8.2,8.2,,,,,,,,,,,,,,,,,,,,,,,,
2945A,-6.57708,2025-05-28T06:00:00+0000,0.0,805.0,3.4,2.4,165.0,40.48512,172.0,EL BODÓN-BASE AEREA,91.0,10.5,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
2946X,-6.600021,2025-05-28T06:00:00+0000,0.0,680.0,1.8,0.9,190.0,40.63502,93.0,SAELICES EL CHICO,85.0,10.6,12.0,12.0,945.3,,13.5,1024.5,9.6,20.0,,43.0,20.9,0.0,0.0,,,,,,,,,,,,,
2966D,-6.301295,2025-05-28T06:00:00+0000,0.0,840.0,3.7,3.2,33.0,41.683464,37.0,ALCAÑICES-VIVINERA,72.0,12.0,15.4,15.4,,,,,,,,,,,,,,,,,,,,,,,,
2969U,-7.183055,2025-05-28T06:00:00+0000,0.0,910.0,,,,42.027264,,MESÓN EROSA,78.0,11.8,13.1,13.1,,,,,,,,,,,,,,,,,,,,,,,,
2978X,-7.422059,2025-05-28T06:00:00+0000,0.0,380.0,,,,41.926666,,AGUAS DE CABREIROA,90.0,9.7,9.9,9.9,,,,,,,,,,,,,,,,,,,,,,,,
3013,-1.878928,2025-05-28T06:00:00+0000,0.0,1061.72,1.1,0.4,36.0,40.841652,78.0,MOLINA DE ARAGÓN,85.0,7.4,8.5,8.5,905.4,0.2,8.7,,6.1,20.0,42.0,41.7,16.8,,,,,,0.0,,,,,19.1,"{'value': 1582.5, 'present': True}",,,
3021Y,-2.199722,2025-05-28T06:00:00+0000,0.0,1250.46,2.5,1.4,68.0,40.75833,17.0,ZAOREJAS,73.0,11.0,12.1,12.4,,,,,,,,,,,,,,,,,,,,,,,,
3040Y,-2.076393,2025-05-28T06:00:00+0000,0.0,1214.0,,,,40.57167,,BETETA,85.0,8.8,8.9,8.9,,,,,,,,,,,,,,,,,,,,,,,,
3085Y,-2.953058,2025-05-28T06:00:00+0000,0.0,920.0,,,,40.407776,,PASTRANA,77.0,12.5,13.8,13.8,,,,,,,,,,,,,,,,,,,,,,,,
3094B,-3.021667,2025-05-28T06:00:00+0000,0.0,818.96,2.9,1.3,108.0,40.01139,92.0,TARANCON,54.0,17.7,18.4,18.4,930.1,0.4,21.4,,8.9,15.9,12.0,4.0,22.5,,,,,,0.0,,,,,,,868.0,,
3100B,-3.546025,2025-05-28T06:00:00+0000,0.0,540.0,5.3,2.6,91.0,40.06714,93.0,ARANJUEZ,67.0,12.9,15.4,15.4,,,,,9.3,,,,,,,106.0,,,,,,,,,,,,
3103,-3.301944,2025-05-28T06:00:00+0000,0.0,910.0,3.8,2.6,38.0,41.003613,32.0,PANTANO EL VADO,75.0,11.6,12.9,12.9,,,,,,,,,,,,,,,,,,,,,,,,
3104Y,-3.888285,2025-05-28T06:00:00+0000,0.0,1159.0,1.0,0.2,239.0,40.889687,245.0,EL PAULAR- RASCAFRÍA (AUTOMÁTICA),94.0,7.5,9.6,9.6,,,,,,,,,,,,,,,,,,,,,,,,
3110C,-3.613809,2025-05-28T06:00:00+0000,0.0,1030.0,3.2,0.8,261.0,41.006985,267.0,BUITRAGO,67.0,9.5,13.1,13.1,910.9,,,,7.1,,,,,,,46.0,,,,,,,,,"{'value': 1608.4, 'present': True}",,,
3111D,-3.580467,2025-05-28T06:00:00+0000,0.0,1450.0,0.0,0.0,0.0,41.135685,45.0,SOMOSIERRA,56.0,12.3,13.1,13.1,864.0,,,,4.5,,,,,,,0.0,,,,,,,,,"{'value': 1587.2, 'present': True}",,,
3125Y,-3.616667,2025-05-28T06:00:00+0000,0.0,672.0,,,,40.55,,SAN SEBASTIAN DE LOS REYES,50.0,15.7,19.8,19.8,,,,,,,,,,,,,,,,,,,,,,,,
3126Y,-3.711944,2025-05-28T06:00:00+0000,0.0,740.0,2.2,0.6,59.0,40.561386,80.0,EL GOLOSO (AUTOMÁTICA),55.0,14.7,17.3,17.3,,,,,,,,,,,,,,,,,,,,,,,,
3129,-3.555593,2025-05-28T06:00:00+0000,0.0,609.0,2.6,0.2,360.0,40.46656,40.0,MADRID/BARAJAS,73.0,13.6,14.5,14.7,956.5,0.5,15.1,1024.2,9.7,29.6,112.0,38.0,,,,,,,,,,,,,,,,
3129A,-3.579722,2025-05-28T06:00:00+0000,0.0,631.0,2.2,1.4,30.0,40.46528,52.0,MADRID BARAJAS RS.,55.0,15.9,17.8,17.9,950.9,0.3,,1023.2,8.7,,15.0,,,,,,,,,,,,,,,,,
3130C,-2.617927,2025-05-28T06:00:00+0000,0.0,1005.0,1.7,0.3,10.0,41.086277,349.0,SIGÜENZA,78.0,7.7,9.7,9.7,912.2,,13.4,,6.1,20.0,,0.0,12.4,0.0,0.0,,,,,,,,,,"{'value': 1588.1, 'present': True}",,,
3140Y,-2.75988,2025-05-28T06:00:00+0000,0.0,990.0,,,,40.985077,,MANDAYONA,68.0,11.2,12.4,12.4,,,,,,,,,,,,,,,,,,,,,,,,
3158D,-3.142474,2025-05-28T06:00:00+0000,0.0,1368.0,,0.0,218.0,41.274166,,EVC_CAMPISABALOS,91.0,8.0,11.1,11.1,879.0,,,,9.7,,,,,,,0.0,,,,,,,,,"{'value': 1647.8, 'present': True}",,,
3168D,-3.150278,2025-05-28T06:00:00+0000,0.0,727.44,5.1,1.1,280.0,40.630283,75.0,GUADALAJARA,60.0,15.0,16.7,16.7,940.2,0.5,12.4,1023.6,8.9,20.0,46.0,54.3,18.4,,,,,,0.0,,,,,19.1,,,,
3170Y,-3.289711,2025-05-28T06:00:00+0000,0.0,605.0,4.8,1.6,83.0,40.52836,65.0,ALCALA DE HENARES-ENCÍN,75.0,14.0,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
3182Y,-3.497784,2025-05-28T06:00:00+0000,0.0,533.0,2.8,1.2,59.0,40.31167,47.0,ARGANDA DEL REY,70.0,14.3,16.4,16.4,,,,,,,,,,,,,,,,,,,,,,,,
3191E,-3.765135,2025-05-28T06:00:00+0000,0.0,1004.0,2.7,0.9,311.0,40.696068,45.0,COLMENAR VIEJO/FAMET,42.0,17.2,18.3,18.5,910.6,,,,5.1,,,,,,,31.0,,,,,,,,,,869.1,,
3194U,-3.724167,2025-05-28T06:00:00+0000,0.0,664.0,3.6,1.3,340.0,40.45167,55.0,MADRID  C. UNIVERSITARIA,75.0,14.0,15.4,15.4,,,,,11.0,,,,,,,38.0,,,,,,,,,,,,
3194Y,-3.813369,2025-05-28T06:00:00+0000,0.0,665.0,,,,40.448437,,POZUELO DE ALARCON (AUTOMÁTICA),75.0,13.1,14.9,14.9,,,,,,,,,,,,,,,,,,,,,,,,
3195,-3.678095,2025-05-28T06:00:00+0000,0.0,667.0,6.6,2.1,118.0,40.411804,111.0,MADRID RETIRO,52.0,18.1,18.7,18.7,945.6,,,1021.5,8.7,,,,,,,91.0,,,,,,,,,,,,
3209Y,-2.874063,2025-05-28T06:00:00+0000,0.0,835.0,,,,40.765198,,BRIHUEGA,82.0,10.8,11.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,
3229Y,-3.311671,2025-05-28T06:00:00+0000,0.0,594.0,,,,40.247227,,TIELMES,71.0,13.8,14.2,14.2,,,,,,,,,,,,,,,,,,,,,,,,
3245Y,-3.505837,2025-05-28T06:00:00+0000,0.0,635.0,,,,39.696114,,TEMBLEQUE,71.0,12.1,13.8,13.8,,,,,,,,,,,,,,,,,,,,,,,,
3254Y,-3.780687,2025-05-28T06:00:00+0000,0.0,717.0,2.7,1.2,173.0,39.68689,177.0,MORA DE TOLEDO (AUTOMÁTICA),63.0,16.0,16.6,17.0,,,,,,,,,,,,,,,,,,,,,,,,
3260B,-4.045278,2025-05-28T06:00:00+0000,0.0,512.69,3.0,2.0,119.0,39.884724,125.0,TOLEDO,70.0,15.5,15.8,15.8,963.2,0.4,14.3,1022.9,10.3,20.0,11.0,10.5,20.0,,,,,,0.0,,,,,25.2,,,,
3266A,-4.141883,2025-05-28T06:00:00+0000,0.0,1532.0,3.3,1.9,278.0,40.70634,280.0,ALTO DE LOS LEONES,51.0,14.3,15.3,15.3,856.9,,,,5.1,,,,,,,69.0,,,,,,,,,"{'value': 1600.5, 'present': True}",,,
3268C,-4.017505,2025-05-28T06:00:00+0000,0.0,924.0,1.5,0.3,3.0,40.659725,357.0,ALPEDRETE,52.0,15.8,19.2,19.2,,,,,,,,,,,,,,,,,,,,,,,,
3298X,-4.350468,2025-05-28T06:00:00+0000,0.0,917.0,1.1,0.5,151.0,39.546833,162.0,SAN PABLO DE LOS MONTES,47.0,19.7,20.2,20.2,,,,,8.5,,,,,,,10.0,,,,,,,,,,,,
3305Y,-4.476945,2025-05-28T06:00:00+0000,0.0,750.0,,,,39.630554,,NAVAHERMOSA,65.0,15.6,17.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,
3319D,-5.012748,2025-05-28T06:00:00+0000,0.0,1285.0,1.2,0.0,76.0,40.339664,235.0,PUERTO EL PICO,96.0,5.5,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
3330Y,-4.487227,2025-05-28T06:00:00+0000,0.0,890.0,,,,40.31305,,ROZAS DE PUERTO REAL,67.0,15.1,15.7,15.8,,,,,,,,,,,,,,,,,,,,,,,,
3337U,-4.455763,2025-05-28T06:00:00+0000,0.0,850.0,4.0,0.8,34.0,40.467503,295.0,CEBREROS,49.0,16.5,20.9,20.9,,,,,,,,,,,,,,,,,,,,,,,,
3338,-4.249927,2025-05-28T06:00:00+0000,0.0,763.0,,,,40.42775,,ROBLEDO DE CHAVELA,51.0,14.8,17.7,17.7,936.0,,,,7.4,,,,,,,0.0,,,,,,,,,,863.9,,
3343Y,-4.061107,2025-05-28T06:00:00+0000,0.0,884.0,1.9,0.8,39.0,40.496662,77.0,VALDEMORILLO,64.0,16.5,17.3,17.3,,,,,,,,,,,,,,,,,,,,,,,,
3362Y,-4.680608,2025-05-28T06:00:00+0000,0.0,560.0,,,,40.108208,,CASTILLO BAYUELA,56.0,17.0,19.9,19.9,,,,,,,,,,,,,,,,,,,,,,,,
3365A,-4.863596,2025-05-28T06:00:00+0000,0.0,372.0,2.9,1.1,66.0,39.958607,53.0,TALAVERA DE LA REINA,72.0,15.3,15.9,15.9,979.6,,19.3,1023.2,10.9,,,0.0,20.8,0.0,0.0,,,,,,,,,,,,,
3386A,-5.391666,2025-05-28T06:00:00+0000,0.0,923.0,2.5,1.6,175.0,39.591663,172.0,NAVALVILLAR DE IBOR,56.0,17.2,17.9,17.9,,,,,,,,,,,,,,,,,,,,,,,,
3391,-4.590932,2025-05-28T06:00:00+0000,0.0,630.0,2.0,0.2,46.0,40.288563,31.0,SOTILLO DE LA ADRADA,57.0,16.3,18.0,18.0,,,,,9.3,,,,,,,3.0,,,,,,,,,,,,
3422D,-5.311326,2025-05-28T06:00:00+0000,0.0,350.0,1.4,0.3,352.0,40.1392,80.0,CANDELEDA (AUTOMATICA),77.0,14.4,16.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,
3423I,-5.373329,2025-05-28T06:00:00+0000,0.0,464.0,1.3,0.5,201.0,40.15389,200.0,MADRIGAL DE LA VERA,71.0,16.8,16.9,17.4,,,,,,,,,,,,,,,,,,,,,,,,
3427Y,-5.114443,2025-05-28T06:00:00+0000,0.0,345.0,,,,39.99334,,OROPESA DEHESÓN DEL  ENCINAR,91.0,11.7,12.9,12.9,,,,,,,,,,,,,,,,,,,,,,,,
3434X,-5.582629,2025-05-28T06:00:00+0000,0.0,269.0,2.3,1.6,61.0,39.94576,65.0,NAVALMORAL DE LA MATA,93.0,14.0,15.0,15.0,990.3,0.4,16.1,1022.1,13.9,10.3,9.0,41.0,22.5,,,,,,0.0,,,,,,,,,
3436D,-5.784718,2025-05-28T06:00:00+0000,0.0,690.0,6.1,3.0,312.0,40.11111,320.0,GARGANTA LA OLLA,55.0,20.1,21.3,21.3,,,,,,,,,,,,,,,,,,,,,,,,
3448X,-6.127483,2025-05-28T06:00:00+0000,0.0,406.0,2.7,1.3,286.0,39.820717,127.0,SERRADILLA (AUTOMATICA),63.0,17.3,17.7,17.8,,,,,,,,,,,,,,,,,,,,,,,,
3455X,-5.808349,2025-05-28T06:00:00+0000,0.0,559.0,3.5,2.8,103.0,39.66995,102.0,JARAICEJO,44.0,18.1,21.3,21.3,,,,,,,,,,,,,,,,,,,,,,,,
3469A,-6.338889,2025-05-28T06:00:00+0000,0.0,393.98,2.2,0.8,122.0,39.47139,218.0,CÁCERES,65.0,16.2,18.7,18.7,976.3,0.2,18.6,1021.6,12.0,20.0,7.0,33.8,25.3,,,,,,0.0,,,,,26.1,,,,
3475X,-6.376392,2025-05-28T06:00:00+0000,0.0,373.0,3.2,1.6,111.0,39.790558,65.0,CAÑAVERAL,60.0,17.1,19.2,19.2,,,,,,,,,,,,,,,,,,,,,,,,
3494U,-6.239733,2025-05-28T06:00:00+0000,0.0,470.0,0.8,0.5,344.0,40.40809,355.0,NUÑOMORAL,95.0,10.0,10.4,10.4,,,,,,,,,,,,,,,,,,,,,,,,
3503,-6.1675,2025-05-28T06:00:00+0000,0.0,393.0,6.1,4.2,27.0,40.189445,27.0,GUIJO DE GRANADILLA,58.0,18.2,19.6,19.6,,,,,,,,,,,,,,,,,,,,,,,,
3504X,-5.861212,2025-05-28T06:00:00+0000,0.0,724.0,5.3,3.2,161.0,40.265087,177.0,HERVAS,61.0,16.2,17.3,17.3,,,,,,,,,,,,,,,,,,,,,,,,
3512X,-6.338888,2025-05-28T06:00:00+0000,0.0,351.0,2.4,0.8,323.0,40.08083,305.0,MONTEHERMOSO,74.0,14.1,16.6,16.6,,,,,,,,,,,,,,,,,,,,,,,,
3514B,-5.678336,2025-05-28T06:00:00+0000,0.0,991.0,7.3,3.7,69.0,40.258614,55.0,TORNAVACAS,45.0,18.2,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
3516X,-5.832386,2025-05-28T06:00:00+0000,0.0,1260.0,1.0,0.2,285.0,40.12078,280.0,PIORNAL (AUTOMATICA),61.0,15.5,16.6,16.6,,,,,,,,,,,,,,,,,,,,,,,,
3519X,-6.085781,2025-05-28T06:00:00+0000,0.0,415.0,2.7,1.5,111.0,40.043053,141.0,PLASENCIA,62.0,18.2,18.5,18.5,,,,,11.1,,,,,,,37.0,,,,,,,,,,,,
3526X,-6.557527,2025-05-28T06:00:00+0000,0.0,313.0,2.1,0.7,326.0,40.00354,90.0,CORIA,75.0,15.4,16.2,16.2,985.4,0.2,19.1,1022.2,11.8,18.5,13.0,9.0,25.9,,,,,,0.0,,,,,,,,,
3531X,-6.411707,2025-05-28T06:00:00+0000,0.0,459.0,3.9,2.1,21.0,40.254925,15.0,TORRECILLA DE LOS ANGELES,71.0,14.6,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
3536X,-6.724444,2025-05-28T06:00:00+0000,0.0,560.0,2.2,1.2,30.0,40.17483,20.0,HOYOS,78.0,15.6,15.9,17.4,,,,,,,,,,,,,,,,,,,,,,,,
3540X,-6.860004,2025-05-28T06:00:00+0000,0.0,336.0,1.0,0.3,4.0,39.871387,5.0,ZARZA LA MAYOR,65.0,15.6,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
3547X,-6.896107,2025-05-28T06:00:00+0000,0.0,450.0,2.0,1.4,341.0,40.207226,347.0,VALVERDE DE FRESNO,66.0,15.3,18.1,18.1,,,,,,,,,,,,,,,,,,,,,,,,
3562X,-6.736389,2025-05-28T06:00:00+0000,0.0,321.0,1.3,0.0,352.0,39.4275,207.0,ALISEDA  LA UMBRÍA,76.0,15.9,15.9,16.8,,,,,,,,,,,,,,,,,,,,,,,,
3565X,-6.744998,2025-05-28T06:00:00+0000,0.0,425.0,3.6,2.4,354.0,39.61806,340.0,BROZAS (AUTOMATICA),75.0,16.9,18.2,18.2,,,,,,,,,,,,,,,,,,,,,,,,
3576X,-7.231135,2025-05-28T06:00:00+0000,0.0,444.0,3.0,2.2,210.0,39.41486,196.0,VALENCIA DE ALCÁNTARA,69.0,14.6,16.1,16.1,970.3,0.2,14.2,1022.0,10.4,20.0,6.0,0.0,18.7,,,,,,0.0,,,,,,,,,
4007Y,-2.745006,2025-05-28T06:00:00+0000,0.0,905.0,2.1,1.1,171.0,38.96583,162.0,OSSA DE MONTIEL,52.0,15.3,17.9,17.9,,,,,,,,,,,,,,,,,,,,,,,,
4051Y,-2.80695,2025-05-28T06:00:00+0000,0.0,875.0,1.7,1.4,36.0,40.06111,37.0,ALCÁZAR DEL REY,73.0,12.1,15.4,15.4,,,,,,,,,,,,,,,,,,,,,,,,
4061X,-3.048206,2025-05-28T06:00:00+0000,0.0,691.52,,,,39.59716,,QUINTANAR DE LA ORDEN,70.0,,,,943.8,,,,,,,,,,,30.0,,,,,,,,,,,,
4064Y,-3.215832,2025-05-28T06:00:00+0000,0.0,640.0,2.5,0.8,79.0,39.390827,87.0,ALCAZAR DE SAN JUAN,63.0,18.0,18.4,18.4,,,,,,,,,,,,,,,,,,,,,,,,
4067,-3.528358,2025-05-28T06:00:00+0000,0.0,690.0,3.2,0.9,87.0,39.492065,274.0,MADRIDEJOS,56.0,15.0,17.3,17.3,943.5,0.4,17.7,1022.3,8.4,20.0,18.0,50.0,22.9,,,,,,0.0,,,,,,,,,
4070Y,-2.395207,2025-05-28T06:00:00+0000,0.0,1020.0,1.4,0.5,247.0,40.018784,320.0,ABIA DE OBISPALIA,88.0,10.8,12.6,12.6,,,,,,,,,,,,,,,,,,,,,,,,
4075Y,-2.503334,2025-05-28T06:00:00+0000,0.0,870.0,,,,39.84028,,VILLARES DEL SAZ,70.0,14.8,15.1,15.1,,,,,,,,,,,,,,,,,,,,,,,,
4089A,-2.49575,2025-05-28T06:00:00+0000,0.0,857.5,3.3,1.3,59.0,39.51697,67.0,ALBERCA DE ZANCARA,81.0,13.5,14.5,14.5,,,,,,,,,,,,,,,,,,,,,,,,
4090Y,-2.420691,2025-05-28T06:00:00+0000,0.0,728.0,3.2,1.8,36.0,39.416737,27.0,SAN CLEMENTE,76.0,12.6,15.1,15.1,940.1,,16.7,1023.6,10.9,16.9,,48.0,22.3,0.0,0.0,,,,,,,,,,,,,
4091Y,-2.592567,2025-05-28T06:00:00+0000,0.0,718.0,4.5,2.0,51.0,39.261894,45.0,VILLARROBLEDO,73.0,14.3,15.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,
4093Y,-2.759997,2025-05-28T06:00:00+0000,0.0,763.0,3.1,1.4,321.0,39.656116,335.0,OSA DE LA VEGA (AUTOMÁTICA),85.0,12.0,12.8,12.8,,,,,,,,,,,,,,,,,,,,,,,,
4095Y,-2.705556,2025-05-28T06:00:00+0000,0.0,745.0,2.7,0.7,285.0,39.555283,92.0,BELMONTE,67.0,17.3,17.4,17.5,,,,,,,,,,,,,,,,,,,,,,,,
4096Y,-2.488886,2025-05-28T06:00:00+0000,0.0,918.0,3.5,0.9,204.0,39.016663,210.0,MUNERA  SAN BARTOLOMÉ (AUTOMÁTICA),73.0,13.7,14.3,14.3,,,,,,,,,,,,,,,,,,,,,,,,
4103X,-3.00749,2025-05-28T06:00:00+0000,0.0,662.0,2.2,1.5,89.0,39.169044,96.0,TOMELLOSO,64.0,13.1,15.0,15.0,947.2,0.3,18.4,1023.6,8.3,7.9,9.0,45.0,23.6,,,,,,0.0,,,,,,,,,
4116I,-3.741944,2025-05-28T06:00:00+0000,0.0,626.5,,,,38.950832,,ALMAGRO/FAMET,60.0,15.3,16.3,16.3,,,,,,,,,,,,,,,,,,,,,,,,
4121,-3.920278,2025-05-28T06:00:00+0000,0.0,626.17,1.9,1.1,84.0,38.989166,93.0,CIUDAD REAL,60.0,17.4,17.7,17.7,950.9,0.2,16.6,1022.8,9.8,20.0,11.0,47.1,24.6,,,,,,0.0,,,,,25.2,,,,
4138Y,-3.004441,2025-05-28T06:00:00+0000,0.0,900.0,3.3,1.7,178.0,38.737495,165.0,VILLANUEVA DE LOS INFANTES,56.0,15.2,17.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,
4147X,-3.391368,2025-05-28T06:00:00+0000,0.0,700.0,4.0,1.8,30.0,38.750423,23.0,VALDEPEÑAS,44.0,16.3,17.7,17.7,942.3,,21.0,1022.1,5.3,20.0,,21.0,25.7,0.0,0.0,,,,,,,,,,,,,
4148,-3.566724,2025-05-28T06:00:00+0000,0.0,804.0,2.4,1.7,15.0,38.518047,11.0,VISO DEL MARQUÉS,49.0,16.0,17.3,17.3,931.2,,,,6.5,,,,,,,60.0,,,,,,,,,,861.0,,
4193Y,-4.282654,2025-05-28T06:00:00+0000,0.0,587.1,,,,39.217045,,EL ROBLEDO,,14.4,15.6,15.6,,,,,,,,,,,,,,,,,,,,,,,,
4195E,-4.394988,2025-05-28T06:00:00+0000,0.0,651.0,1.8,1.0,311.0,39.32091,287.0,ALCORNOQUERA  PARQUE NACIONAL CABAÑEROS,76.0,13.0,16.0,16.0,947.9,0.2,,1022.7,11.8,,6.0,,,,,,,,,,,,,,,,,
4210Y,-4.291943,2025-05-28T06:00:00+0000,0.0,718.0,4.0,1.7,38.0,38.898056,27.0,ABENOJAR (AUTOMATICA),56.0,18.3,19.5,19.5,,,,,,,,,,,,,,,,,,,,,,,,
4220X,-4.622035,2025-05-28T06:00:00+0000,0.0,531.48,0.9,0.1,136.0,39.083622,122.0,PUEBLA DE DON RODRIGO,72.0,13.2,16.5,16.5,960.8,,,1022.3,11.4,,,,,,,5.0,,,,,,,,,,,,
4236Y,-5.026459,2025-05-28T06:00:00+0000,0.0,689.04,2.6,1.8,76.0,39.45044,62.0,PUERTO DEL REY,41.0,21.1,22.6,22.6,,,,,,,,,,,,,,,,,,,,,,,,
4244X,-5.062271,2025-05-28T06:00:00+0000,0.0,447.0,1.5,0.4,267.0,39.169353,244.0,HERRERA DEL DUQUE,76.0,14.8,17.2,17.2,970.4,0.1,14.8,1022.2,13.0,11.2,17.0,26.0,18.5,,,,,,0.0,,,,,,,,,
4245X,-5.333333,2025-05-28T06:00:00+0000,0.0,660.0,1.3,0.0,104.0,39.455273,317.0,GUADALUPE (AUTOMATICA),73.0,15.6,18.7,18.7,,,,,,,,,,,,,,,,,,,,,,,,
4260,-5.577502,2025-05-28T06:00:00+0000,0.0,542.0,0.4,0.0,48.0,38.479717,95.0,PERALEDA DEL ZAUCEJO,75.0,14.0,15.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,
4263X,-5.350555,2025-05-28T06:00:00+0000,0.0,575.0,2.2,0.9,280.0,38.409447,212.0,VALSEQUILLO,68.0,14.4,15.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,
4267X,-5.121442,2025-05-28T06:00:00+0000,0.0,551.0,2.3,0.8,103.0,38.498367,84.0,HINOJOSA DEL DUQUE,55.0,15.5,18.4,18.4,958.0,,,1021.2,9.2,,,,,,,45.0,,,,,,,,,,,,
4300Y,-4.845277,2025-05-28T06:00:00+0000,0.0,535.0,0.9,0.1,206.0,38.775284,210.0,MINAS DE ALMADÉN,61.0,17.2,17.7,17.7,,,,,,,,,,,,,,,,,,,,,,,,
4325Y,-5.529083,2025-05-28T06:00:00+0000,0.0,459.0,1.2,0.6,174.0,38.741814,182.0,CASTUERA,36.0,20.5,22.4,22.4,,,,,,,,,,,,,,,,,,,,,,,,
4339X,-5.369009,2025-05-28T06:00:00+0000,0.0,590.0,3.5,2.2,67.0,39.314167,72.0,CAÑAMERO  EL PINAR,52.0,18.8,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,
4340,-5.461334,2025-05-28T06:00:00+0000,0.0,313.0,2.1,1.4,180.0,39.10346,157.0,NAVALVILLAR DE PELA,78.0,15.2,17.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,
4347X,-5.710276,2025-05-28T06:00:00+0000,0.0,413.0,3.6,2.4,36.0,39.28278,32.0,ZORITA,45.0,19.5,21.5,21.5,,,,,,,,,,,,,,,,,,,,,,,,
4358X,-5.880481,2025-05-28T06:00:00+0000,0.0,273.0,2.1,0.4,144.0,38.95559,151.0,DON BENITO,56.0,18.2,18.2,19.0,989.7,0.2,21.1,1021.7,9.3,20.0,29.0,0.0,27.2,,,,,,0.0,,,,,,,,,
4362X,-5.845813,2025-05-28T06:00:00+0000,0.0,474.1,0.6,0.1,284.0,38.576492,140.0,RETAMAL DE LLERENA ,61.0,14.6,16.9,16.9,,,,,,,,,,,,,,,,,,,,,,,,
4386B,-6.017048,2025-05-28T06:00:00+0000,0.0,655.0,2.3,1.5,123.0,38.23171,134.0,LLERENA,41.0,18.6,20.7,20.7,947.5,0.3,22.2,1021.6,7.0,20.0,16.0,36.0,18.6,,,,,,0.0,,,,,,,,,
4395X,-6.306664,2025-05-28T06:00:00+0000,0.0,430.0,1.2,0.7,158.0,38.551666,162.0,VILLAFRANCA DE LOS BARROS,56.0,13.8,15.4,15.4,,,,,,,,,,,,,,,,,,,,,,,,
4410X,-6.385632,2025-05-28T06:00:00+0000,0.0,228.0,0.5,0.3,250.0,38.915882,243.0,MÉRIDA,87.0,12.9,16.0,16.0,994.9,0.2,,1021.8,13.9,,15.0,,,,,,,,,,,,,,,,,
4411C,-6.231012,2025-05-28T06:00:00+0000,0.0,467.0,2.0,1.8,301.0,39.197636,300.0,ALCUESCAR,58.0,17.0,18.1,18.1,,,,,,,,,,,,,,,,,,,,,,,,
4427X,-6.436641,2025-05-28T06:00:00+0000,0.0,433.0,3.7,2.9,143.0,38.425854,142.0,ZAFRA (AUTOMATICA),69.0,14.2,15.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,
4436Y,-6.361046,2025-05-28T06:00:00+0000,0.0,371.0,1.6,0.1,107.0,38.688904,300.0,ALMENDRALEJO,51.0,19.0,19.7,19.7,,,,,,,,,,,,,,,,,,,,,,,,
4452,-6.81389,2025-05-28T06:00:00+0000,0.0,185.5,1.9,0.7,313.0,38.883396,303.0,BADAJOZ/TALAVERA LA REAL,79.0,16.5,17.4,17.4,999.7,0.1,16.5,1021.6,13.8,,16.0,35.3,21.7,,,,,,0.0,,,,,25.7,,,,
4464X,-6.995182,2025-05-28T06:00:00+0000,0.0,283.0,0.8,0.2,127.0,39.181934,120.0,ALBURQUERQUE,95.0,12.4,13.4,13.4,,,,,,,,,,,,,,,,,,,,,,,,
4468X,-6.600769,2025-05-28T06:00:00+0000,0.0,392.0,2.7,0.9,329.0,39.176624,310.0,PUEBLA DE OBANDO (AUTOMATICA),63.0,18.0,20.2,20.2,,,,,,,,,,,,,,,,,,,,,,,,
4478X,-7.00948,2025-05-28T06:00:00+0000,0.0,173.7,2.0,0.9,344.0,38.886204,330.0,BADAJOZ UNIVERSIDAD,89.0,14.5,15.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,
